fips_code,cv_max_rmse,n_folds
4001,0.0018793147159041471,190
4003,0.0007814190963025389,190
4005,0.0017701665871111794,190
4007,0.006721414091111684,190
4009,0.0,190
4011,0.0,190
4012,0.0034258591406059174,190
4013,0.0009903310011598553,190
4015,0.0024680036389228012,190
4017,0.003343261122982702,190
4019,0.0012188896429945822,190
4021,0.0025633172420849552,190
4023,0.0014909196724892028,190
4025,0.0020148904093149162,190
4027,0.0007108796800915837,190
23001,0.0018600797990961165,190
23003,0.009372248037969171,190
23005,0.002042953704848203,190
23007,0.0066885498898529416,190
23009,0.012832981584917903,190
23011,0.0029538106603362205,190
23013,0.005018940398293455,190
23015,0.006623961077661122,190
23017,0.0052763160253278115,190
23019,0.003926725630677695,190
23021,0.010458507594672588,190
23023,0.007006140862869208,190
23025,0.004409914876067482,190
23027,0.004351725889458661,190
23029,0.0053378125078447575,190
23031,0.0035704271117616114,190
31001,0.0,190
31003,0.004377984015402335,190
31005,0.0,190
31007,0.0,190
31009,0.0,190
31011,0.0,190
31013,0.0,190
31015,0.0009390687547142229,190
31017,0.0002721054126536749,190
31019,0.003581919652560804,190
31021,0.003765017349928228,190
31023,4.3131009468936666e-05,190
31025,0.02061335293026345,190
31027,0.0002475174735424217,190
31031,0.003028554027450091,190
31035,0.0,190
31037,0.0002716877057952563,190
31039,0.0,190
31041,0.0,190
31043,0.0007403112052770009,190
31045,0.0009788821953788437,190
31047,0.0031313509672263764,190
31049,0.009305187310798164,190
31051,0.0019087236969827384,190
31053,0.001034994871022705,190
31055,0.023652284783182854,190
31059,0.0027743153305575677,190
31061,0.0,190
31063,0.0,190
31065,0.0003276727773741192,190
31067,0.002394505080928576,190
31069,0.00017706748771942484,190
31073,0.0,190
31075,0.0,190
31077,0.0,190
31079,2.897750372793382e-07,190
31081,0.005744333498167108,190
31083,0.0013607506640173422,190
31085,0.0,190
31087,0.0,190
31089,0.0003305728266120904,190
31093,0.0001566522865041167,190
31095,0.0038748930907867643,190
31097,0.007355465612732058,190
31099,0.0,190
31101,0.0009772304264612538,190
31103,0.0,190
31105,0.0,190
31107,0.00012045283158783565,190
31109,0.00025466310564651007,190
31111,4.4637279470330775e-05,190
31115,0.0,190
31117,0.0,190
31119,0.0077825806300760815,190
31123,0.0005283590448360107,190
31127,0.0050630604861399125,190
31131,0.0019320963272186351,190
31133,0.041738090814343806,190
31135,0.0008381963385736655,190
31137,0.0,190
31139,0.011257391541797956,190
31145,0.006807315858173,190
31147,0.016670916550202072,190
31149,0.0005038971500994527,190
31151,0.002692655022636788,190
31153,0.023293719158684865,190
31155,0.011311394188439787,190
31157,0.0006969055736594386,190
31159,0.0007874553825319215,190
31161,0.003043556976846794,190
31163,0.0021585239277508283,190
31165,0.004551902551230256,190
31167,0.0,190
31169,0.004661228906909523,190
31173,0.0012277548959740965,190
31175,0.0,190
31177,0.03333785635857504,190
31179,0.0,190
31185,0.0009172131656175763,190
41001,0.01494530454711188,190
41003,0.0025685894377098983,190
41005,0.02277452739075056,190
41007,0.009262009378516662,190
41009,0.0001290022916957437,190
41011,0.0030386171710015623,190
41013,0.0061439779713135636,190
41015,0.0029172994661999965,190
41017,0.0015040335617906818,190
41019,0.0019461525502953176,190
41021,0.0015915553612741984,190
41023,0.009982624701374218,190
41025,0.001950328307239186,190
41027,0.0037058712334634898,190
41029,0.002725122427049915,190
41031,0.005046713886839634,190
41033,0.0027490606629637466,190
41035,0.0031793180152705296,190
41037,0.002573547949760938,190
41039,0.0008524801232504688,190
41041,0.005367791505310886,190
41043,0.0036629845242967403,190
41045,0.0021082856274422463,190
41047,0.038406516441697125,190
41049,0.0011799816303211142,190
41051,0.008500693464696252,190
41053,0.027798754802201026,190
41055,0.003125758781748022,190
41057,0.004377504551404482,190
41059,0.003137354240640525,190
41061,0.01021124735680008,190
41063,0.005181557190801333,190
41065,0.0006564761526577998,190
41067,0.001311836720073198,190
41071,0.0031941945597599368,190
45001,0.0030805326543799963,190
45003,0.0007456611263332723,190
45005,0.0035493286675034276,190
45007,0.0053450730957965145,190
45009,0.0007901282513458705,190
45011,0.002859614197709173,190
45013,0.005658611379938623,190
45015,0.0005593467645931003,190
45017,0.002433550548850316,190
45019,0.0021854532329055637,190
45021,0.00147689986213978,190
45023,0.0029775579561906644,190
45025,0.002852349602327746,190
45027,0.0013886880354142795,190
45029,0.00958269506325025,190
45031,0.0013879392443775596,190
45033,0.0007907617054265138,190
45035,0.0006838094975019771,190
45037,0.0013402830893642363,190
45039,0.004566512881882488,190
45041,0.0014212865090711432,190
45043,0.00227988382809162,190
45045,0.003936073394867528,190
45047,0.0014310897405867746,190
45049,0.0016549101692124827,190
45051,0.0011737111131290491,190
45053,0.008705594448805538,190
45055,0.0011262795956183671,190
45057,0.002766350308710934,190
45059,0.0016898297816945512,190
45061,0.0018960340727924884,190
45063,0.0005255653605143669,190
45065,0.005341147572881757,190
45067,0.001797251788844536,190
45069,0.0010355522946829145,190
45071,0.0020770894045133324,190
45073,0.0011236598557682381,190
45075,0.0008771185534953194,190
45077,0.00646938278161123,190
45079,0.0011898536165325729,190
45081,0.011332738174372366,190
45083,0.0008906256500366881,190
45085,0.0016817330919633006,190
45087,0.0016468962521864372,190
45089,0.0019017223916683917,190
45091,0.0009855069346056966,190
